year,pick,nominator,player,member_id,drafted_by,price,position,total_fan_points,fan_points_per_dollar_spent
2021,69,Brian,Chase Edmonds,5,Eric + Mark,10,RB,123.3,12.33
2021,70,Daniel,Gus Edwards,9,Mario,18,RB,0,0
2021,71,Daniel,Courtland Sutton,2,Brian,3,WR,110.3,36.766666666666666
2021,72,Brian,Robbie Chosen,1,Bill,3,WR,85.5,28.5
2021,73,Nate,Russell Wilson,9,Mario,3,QB,227.8,75.93333333333334
2021,74,Bryan,Jerry Jeudy,9,Mario,8,WR,54.5,6.8125
2021,75,Grossman,Brandon Aiyuk,1,Bill,12,WR,117.1,9.758333333333333
2021,76,Bill,Ja'Marr Chase,6,Jack,2,WR,257,128.5
2021,77,Justin,Deebo Samuel,4,Daniel,3,RB,274,91.33333333333333
2021,78,Jack,Los Angeles Rams,6,Jack,1,DST,45.5,45.5
2021,79,Mario,Brandin Cooks,5,Eric + Mark,2,WR,166.7,83.35
2021,80,Jon,DeVonta Smith,7,Jon,5,WR,139.5,27.9
2021,81,Jon,Emmanuel Sanders,7,Jon,1,WR,104.2,104.2
2021,82,Mario,Ronald Jones,2,Brian,2,RB,80.7,40.35
2021,83,Jack,William Fuller,8,Justin,2,WR,6.1,3.05
2021,84,Justin,James Conner,2,Brian,2,RB,223.4,111.7
2021,85,Bill,Raheem Mostert,2,Brian,7,RB,2.5,0.35714285714285715
2021,86,Grossman,Jalen Hurts,5,Eric + Mark,3,QB,338.16,112.72000000000001
2021,87,Bryan,Ryan Tannehill,8,Justin,2,QB,258.08,129.04
2021,88,Nate,Matthew Stafford,10,Nate,1,QB,326.22,326.22
2021,89,Brian,Noah Fant,1,Bill,3,TE,101.4,33.800000000000004
2021,90,Daniel,Javonte Williams,4,Daniel,6,RB,186.5,31.083333333333332
2021,91,Daniel,Trey Sermon,2,Brian,5,RB,29.8,5.96
2021,92,Brian,Hunter Henry,2,Brian,1,TE,117.2,117.2
2021,93,Nate,Laviska Shenault,5,Eric + Mark,2,WR,72.3,36.15
2021,94,Bryan,Joe Burrow,3,Bryan,1,QB,336.24,336.24
2021,95,Grossman,Zack Moss,5,Eric + Mark,1,RB,95.3,95.3
2021,96,Bill,A.J. Dillon,4,Daniel,4,RB,172.4,43.1
2021,97,Justin,Leonard Fournette,5,Eric + Mark,2,RB,223,111.5
2021,98,Jack,Jamaal Williams,1,Bill,2,RB,109.1,54.55
2021,99,Mario,Melvin Gordon,8,Justin,2,RB,178,89
2021,100,Jon,Corey Davis,7,Jon,3,WR,82.7,27.566666666666666
2021,101,Jon,Cleveland Browns,7,Jon,5,DST,45.5,9.1
2021,102,Mario,Mike Williams,9,Mario,1,WR,177.2,177.2
2021,103,Jack,Tony Pollard,1,Bill,2,RB,143.6,71.8
2021,104,Justin,Michael Gallup,8,Justin,1,WR,69,69
2021,105,Bill,Justin Fields,1,Bill,1,QB,137.8,137.8
2021,106,Grossman,Michael Thomas,5,Eric + Mark,3,WR,0,0
2021,107,Bryan,Robert Tonyan,3,Bryan,1,TE,36.4,36.4
2021,108,Nate,Logan Thomas,10,Nate,1,TE,39.1,39.1
2021,109,Brian,Tyler Higbee,2,Brian,1,TE,82,82
2021,110,Daniel,Michael Carter,5,Eric + Mark,3,RB,138.5,46.166666666666664
2021,111,Daniel,Phillip Lindsay,4,Daniel,2,RB,41.4,20.7
2021,112,Brian,Tyler Boyd,2,Brian,1,WR,135.34,135.34
2021,113,Nate,Marquez Callaway,8,Justin,2,WR,120.8,60.4
2021,114,Bryan,Matt Ryan,3,Bryan,1,QB,222.08,222.08
2021,115,Grossman,Tre'Quan Smith,5,Eric + Mark,3,WR,48.1,16.033333333333335
2021,116,Bill,Elijah Moore,1,Bill,1,WR,107.7,107.7
2021,117,Justin,Sony Michel,8,Justin,1,RB,147.9,147.9
2021,118,Jack,Devin Singletary,6,Jack,1,RB,158.1,158.1
2021,119,Mario,Nelson Agholor,9,Mario,1,WR,73.6,73.6
2021,120,Mario,Michael Pittman,9,Mario,3,WR,163.2,54.4
2021,121,Jack,Henry Ruggs,5,Eric + Mark,3,WR,69.5,23.166666666666668
2021,122,Justin,Jarvis Landry,8,Justin,1,WR,82.5,82.5
2021,123,Bill,Pittsburgh Steelers,1,Bill,3,DST,32,10.666666666666666
2021,124,Bryan,Antonio Brown,8,Justin,2,WR,97.6,48.8
2021,125,Nate,DJ Chark,10,Nate,1,WR,29.9,29.9
2021,126,Brian,Kenyan Drake,9,Mario,2,RB,84.5,42.25
2021,127,Daniel,Mecole Hardman,4,Daniel,1,WR,84.1,84.1
2021,128,Daniel,Darnell Mooney,4,Daniel,1,WR,151.6,151.6
2021,129,Brian,Jonnu Smith,2,Brian,1,TE,46.4,46.4
2021,130,Nate,Jakobi Meyers,10,Nate,1,WR,117.3,117.3
2021,131,Bryan,Curtis Samuel,3,Bryan,1,WR,5.8,5.8
2021,132,Justin,Baltimore Ravens,8,Justin,1,DST,39.5,39.5
2021,133,Jack,J.D. McKissic,6,Jack,1,RB,97.4,97.4
2021,134,Mario,Trey Lance,9,Mario,1,QB,68.42,68.42
2021,135,Mario,David Johnson,9,Mario,1,RB,53.2,53.2
2021,136,Jack,Tua Tagovailoa,8,Justin,2,QB,172.26,86.13
2021,137,Justin,Alexander Mattison,8,Justin,1,RB,112.8,112.8
2021,138,Bryan,Cole Beasley,3,Bryan,1,WR,92.2,92.2
2021,139,Nate,Marquise Brown,10,Nate,1,WR,156.1,156.1
2021,140,Brian,Jameis Winston,2,Brian,1,QB,125.4,125.4
2021,141,Daniel,Washington Commanders,4,Daniel,1,DST,22.5,22.5
2021,142,Daniel,Nyheim Hines,4,Daniel,1,RB,84.2,84.2
2021,143,Brian,Rondale Moore,2,Brian,1,WR,66.6,66.6
2021,144,Nate,Dallas Goedert,10,Nate,1,TE,132,132
2021,145,Bryan,Marvin Jones,3,Bryan,1,WR,111.4,111.4
2021,146,Jack,Trevor Lawrence,6,Jack,1,QB,191.42,191.42
2021,147,Jack,Allen Lazard,6,Jack,1,WR,92.5,92.5
2021,148,Bryan,Blake Jarwin,3,Bryan,1,TE,22.5,22.5
2021,149,Nate,Rhamondre Stevenson,10,Nate,1,RB,116.3,116.3
2021,150,Daniel,San Francisco 49ers,4,Daniel,1,DST,54.5,54.5
2021,151,Nate,Jalen Reagor,10,Nate,1,WR,48.7,48.7
2021,152,Bryan,Giovani Bernard,3,Bryan,1,RB,40.1,40.1
2021,153,Jack,DeVante Parker,6,Jack,1,WR,75.8,75.8
2021,154,Jack,Rashaad Penny,6,Jack,1,RB,106.2,106.2
2021,155,Bryan,Russell Gage,3,Bryan,1,WR,94.4,94.4
2021,156,Nate,Kirk Cousins,10,Nate,1,QB,293.94,293.94
2021,157,Nate,Tevin Coleman,10,Nate,1,RB,50.4,50.4
2021,158,Bryan,Denver Broncos,3,Bryan,1,DST,67,67
2021,159,Nate,Latavius Murray,4,Daniel,1,RB,85.6,85.6
2021,160,Bryan,Ty Johnson,10,Nate,1,WR,97.6,97.6
2022,1,Brian,Jonathan Taylor,3,Bryan,52,RB,141.9,2.728846153846154
2022,2,Bryan,Derrick Henry,9,Mario,47,RB,304.96,6.488510638297872
2022,3,Mario,Josh Allen,9,Mario,46,QB,414.98,9.021304347826087
2022,4,Bill,Christian McCaffrey,5,Eric + Mark,46,RB,306.46,6.662173913043477
2022,5,Grossman,Justin Herbert,6,Jack,45,QB,277.94,6.176444444444444
2022,6,Justin,Austin Ekeler,7,Jon,44,RB,294.7,6.697727272727272
2022,7,Nate,Jalen Hurts,10,Nate,41,QB,404.08,9.85560975609756
2022,8,Nate,Patrick Mahomes,4,Daniel,40,QB,434.92,10.873000000000001
2022,9,Grossman,Justin Jefferson,1,Bill,40,WR,294.36,7.359
2022,10,Bill,Ja'Marr Chase,8,Justin,40,WR,171.8,4.295
2022,11,Brian,Najee Harris,10,Nate,40,RB,194.46,4.8615
2022,12,Bryan,Lamar Jackson,4,Daniel,39,QB,263.58,6.758461538461538
2022,13,Daniel,Cooper Kupp,6,Jack,37,WR,155.9,4.213513513513513
2022,14,Jack,Dalvin Cook,10,Nate,37,RB,228.1,6.164864864864865
2022,15,Jon,Kyler Murray,5,Eric + Mark,36,QB,215.52,5.986666666666667
2022,16,Jack,Alvin Kamara,4,Daniel,36,RB,169.7,4.713888888888889
2022,17,Mario,Stefon Diggs,2,Brian,36,WR,236.8,6.577777777777778
2022,18,Brian,Dak Prescott,1,Bill,36,QB,197.88,5.496666666666666
2022,19,Daniel,Joe Mixon,5,Eric + Mark,36,RB,196.4,5.455555555555556
2022,20,Justin,Joe Burrow,2,Brian,33,QB,366.88,11.117575757575757
2022,21,Mario,CeeDee Lamb,1,Bill,33,WR,223.4,6.7696969696969695
2022,22,Daniel,Davante Adams,7,Jon,32,WR,267.2,8.35
2022,23,Bill,Javonte Williams,6,Jack,32,RB,32.5,1.015625
2022,24,Bryan,D'Andre Swift,3,Bryan,32,RB,149.5,4.671875
2022,25,Bryan,Russell Wilson,7,Jon,32,QB,210.64,6.5825
2022,26,Nate,Saquon Barkley,8,Justin,31,RB,266,8.580645161290322
2022,27,Grossman,Aaron Jones,1,Bill,27,RB,226.8,8.4
2022,28,Jack,Travis Kelce,8,Justin,27,TE,247,9.148148148148149
2022,29,Daniel,Leonard Fournette,9,Mario,27,RB,184.2,6.822222222222222
2022,30,Nate,Mark Andrews,4,Daniel,26,TE,146.5,5.634615384615385
2022,31,Justin,Aaron Rodgers,9,Mario,25,QB,230.5,9.22
2022,32,Grossman,Nick Chubb,7,Jon,25,RB,281.7,11.267999999999999
2022,33,Jon,Trey Lance,5,Eric + Mark,24,QB,15.96,0.665
2022,34,Bill,Deebo Samuel,2,Brian,24,WR,125.5,5.229166666666667
