year,player_id,player_name,LOOKUP Column,position,nfl_team,weeks_played,total_fantasy_points,avg_points_per_game
2020,4344,C.J. Board,2020C.J. Board,WR,,16,13.4,0.84
2020,3433,Alex Erickson,2020Alex Erickson,WR,,16,13.1,0.82
2020,PHI,Philadelphia Eagles,2020Philadelphia Eagles,DEF,PHI,16,13,0.81
2020,2711,Taylor Heinicke,2020Taylor Heinicke,QB,,3,12.68,4.23
2020,490,Chase Daniel,2020Chase Daniel,QB,,16,12.66,0.79
2020,4992,Dante Pettis,2020Dante Pettis,WR,NO,14,12.6,0.9
2020,5111,Javon Wims,2020Javon Wims,WR,,14,12.5,0.89
2020,1777,Josh Hill,2020Josh Hill,TE,,16,12.1,0.76
2020,5823,Tristan Vizcaino,2020Tristan Vizcaino,K,,1,12,12
2020,5374,Justin Watson,2020Justin Watson,WR,HOU,16,11.9,0.74
2020,1587,Vance McDonald,2020Vance McDonald,TE,,14,11.9,0.85
2020,5880,Parris Campbell,2020Parris Campbell,WR,DAL,2,11.7,5.85
2020,6873,Austin Mack,2020Austin Mack,WR,,12,11.6,0.97
2020,5938,Lil'Jordan Humphrey,2020Lil'Jordan Humphrey,WR,NYG,3,11.6,3.87
2020,868,Virgil Green,2020Virgil Green,TE,,6,11.5,1.92
2020,4866,Saquon Barkley,2020Saquon Barkley,RB,PHI,2,11.4,5.7
2020,2378,Tevin Coleman,2020Tevin Coleman,RB,,11,11.2,1.02
2020,4218,Trent Taylor,2020Trent Taylor,WR,SF,14,11.1,0.79
2020,SEA,Seattle Seahawks,2020Seattle Seahawks,DEF,SEA,16,11,0.69
2020,1425,Ryan Griffin,2020Ryan Griffin,TE,,15,10.6,0.71
2020,2073,Keith Smith,2020Keith Smith,FB,,16,10.6,0.66
2020,6202,Jakob Johnson,2020Jakob Johnson,FB,HOU,16,10.5,0.66
2020,6956,Devin Asiasi,2020Devin Asiasi,TE,,11,10.4,0.95
2020,5974,Trace McSorley,2020Trace McSorley,QB,,12,10.3,0.86
2020,6037,Brett Rypien,2020Brett Rypien,QB,IND,13,10.3,0.79
2020,7227,Artavis Pierce,2020Artavis Pierce,RB,,12,9.9,0.83
2020,4416,Austin Carr,2020Austin Carr,WR,,6,9.7,1.62
2020,827,Tyrod Taylor,2020Tyrod Taylor,QB,NYJ,16,9.52,0.59
2020,4353,Patrick Ricard,2020Patrick Ricard,FB,BAL,15,9.4,0.63
2020,1338,Matt Barkley,2020Matt Barkley,QB,,16,9.28,0.58
2020,7502,Dominique Dafney,2020Dominique Dafney,TE,,5,9.1,1.82
2020,5995,Justice Hill,2020Justice Hill,RB,BAL,16,9,0.56
2020,6913,Joe Reed,2020Joe Reed,WR,,16,8.9,0.56
2020,5107,Jaylen Samuels,2020Jaylen Samuels,RB,,16,8.9,0.56
2020,3852,Jaydon Mickens,2020Jaydon Mickens,WR,,10,8.8,0.88
2020,3278,Pharoh Cooper,2020Pharoh Cooper,WR,,16,8.8,0.55
2020,4335,P.J. Walker,2020P.J. Walker,QB,,16,8.52,0.53
2020,973,Anthony Sherman,2020Anthony Sherman,RB,,13,8.3,0.64
2020,963,Luke Stocker,2020Luke Stocker,TE,,16,8.3,0.52
2020,7032,Tyrie Cleveland,2020Tyrie Cleveland,WR,,16,8.3,0.52
2020,2821,Jake Kumerow,2020Jake Kumerow,WR,,7,8.2,1.17
2020,7204,Reggie Gilliam,2020Reggie Gilliam,RB,BUF,16,8.1,0.51
2020,2471,Michael Burton,2020Michael Burton,FB,DEN,15,8.1,0.54
2020,CLE,Cleveland Browns,2020Cleveland Browns,DEF,CLE,16,8,0.5
2020,1287,Kai Forbath,2020Kai Forbath,K,,2,8,4
2020,7143,Ben DiNucci,2020Ben DiNucci,QB,,16,7.96,0.5
2020,5271,Buddy Howell,2020Buddy Howell,RB,,16,7.7,0.48
2020,6778,Chris Streveler,2020Chris Streveler,QB,,16,7.7,0.48
2020,3204,C.J. Prosise,2020C.J. Prosise,RB,,13,7.7,0.59
2020,5045,Courtland Sutton,2020Courtland Sutton,WR,DEN,2,7.6,3.8
2020,5132,Steven Mitchell,2020Steven Mitchell,WR,,6,7.5,1.25
2020,6427,Ashton Dulin,2020Ashton Dulin,WR,IND,13,7.4,0.57
2020,5080,Damion Ratley,2020Damion Ratley,WR,,6,7.3,1.22
2020,4152,Marlon Mack,2020Marlon Mack,RB,,1,7.1,7.1
2020,7087,Jonathan Ward,2020Jonathan Ward,RB,,14,7.1,0.51
2020,7244,Ja'Marcus Bradley,2020Ja'Marcus Bradley,WR,,3,7,2.33
2020,4362,Cethan Carter,2020Cethan Carter,TE,,16,6.8,0.42
2020,7496,Nick Westbrook-Ikhine,2020Nick Westbrook-Ikhine,WR,MIA,16,6.8,0.42
2020,4647,Colin Thompson,2020Colin Thompson,TE,,16,6.7,0.42
2020,1517,Theo Riddick,2020Theo Riddick,RB,,8,6.7,0.84
2020,7458,Isaiah Zuber,2020Isaiah Zuber,WR,,4,6.5,1.62
2020,5536,Dontrell Hilliard,2020Dontrell Hilliard,RB,,11,6.5,0.59
2020,5123,Trenton Cannon,2020Trenton Cannon,RB,,16,6.4,0.4
2020,6866,KJ Hill,2020KJ Hill,WR,LAC,16,6.3,0.39
2020,5117,Jordan Thomas,2020Jordan Thomas,TE,,12,6.3,0.53
2020,4536,Jason Croom,2020Jason Croom,TE,,5,6.3,1.26
2020,1464,Eric Fisher,2020Eric Fisher,OT,,16,6.2,0.39
2020,2985,Kendall Lamm,2020Kendall Lamm,OT,MIA,16,6.1,0.38
2020,1642,Levine Toilolo,2020Levine Toilolo,TE,NYG,16,6.1,0.38
2020,5154,Trent Sherfield,2020Trent Sherfield,WR,DEN,15,6,0.4
2020,LAC,Los Angeles Chargers,2020Los Angeles Chargers,DEF,LAC,16,6,0.38
2020,3803,Elijhaa Penny,2020Elijhaa Penny,RB,,15,6,0.4
2020,4314,Johnny Mundt,2020Johnny Mundt,TE,JAX,16,5.8,0.36
2020,6068,Devine Ozigbo,2020Devine Ozigbo,RB,,10,5.8,0.58
2020,3048,Chris Manhertz,2020Chris Manhertz,TE,NYG,16,5.7,0.36
2020,4226,Alex Armah,2020Alex Armah,FB,,16,5.7,0.36
2020,1395,Shawn Williams,2020Shawn Williams,DB,,15,5.6,0.37
2020,5409,Tanner Hudson,2020Tanner Hudson,TE,CIN,15,5.6,0.37
2020,1619,Demetrius Harris,2020Demetrius Harris,TE,,16,5.5,0.34
2020,5828,Diontae Spencer,2020Diontae Spencer,WR,,14,5.5,0.39
2020,5873,Riley Ridley,2020Riley Ridley,WR,,15,5.4,0.36
2020,7002,Juwan Johnson,2020Juwan Johnson,TE,NO,7,5.4,0.77
2020,5465,Nick Keizer,2020Nick Keizer,TE,,16,5.3,0.33
2020,4878,Brandon Zylstra,2020Brandon Zylstra,WR,,16,5.1,0.32
2020,4854,River Cracraft,2020River Cracraft,WR,,9,5.1,0.57
2020,6846,Hunter Bryant,2020Hunter Bryant,TE,,9,4.9,0.54
2020,6379,Khari Blasingame,2020Khari Blasingame,FB,,15,4.9,0.33
2020,5250,Robert Foster,2020Robert Foster,WR,,10,4.7,0.47
2020,5277,Deon Yelder,2020Deon Yelder,TE,,16,4.6,0.29
2020,7075,Charlie Woerner,2020Charlie Woerner,TE,ATL,14,4.6,0.33
2020,6164,Kahale Warring,2020Kahale Warring,TE,,7,4.5,0.64
2020,695,Ted Ginn,2020Ted Ginn,WR,,7,4.5,0.64
2020,7106,Lawrence Cager,2020Lawrence Cager,TE,WAS,6,4.5,0.75
2020,5977,Terry Godwin,2020Terry Godwin,WR,,3,4.5,1.5
2020,2039,Seth Roberts,2020Seth Roberts,WR,,7,4.1,0.59
2020,2751,Daniel Brown,2020Daniel Brown,TE,,16,4.1,0.26
